"title"	"date"	"document_doc"	"document_pdf"	"text"	"document_reference"	"agency"	"month"	"quarter"	"year"
"EU-wide CBRN security network"	2018-06-11	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/002922/P8_QE(2018)002922_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/002922/P8_QE(2018)002922_EN.pdf"	"Extract: organisations and cooperating closely with Europol. 1. Can the Commission say how much progress has been made on setting up this EU CBRN support network? 2. Can it provide more information about the network’s composition? 3. Can it say how exactly the"	"
								 
							      
							      
							         P8_QE(2018)002922
							      
							    
							"	"Europol"	2018-06-01	2018-04-01	2018-01-01
"Europol's use of facial recognition technology"	2018-06-11	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/002894/P8_QE(2018)002894_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/002894/P8_QE(2018)002894_EN.pdf"	"Extract:1154559.EN PE 622.660 Question for written answer E-002894/2018 to the Commission Rule 130 Cornelia Ernst (GUE/NGL) Subject: Europol's use of facial recognition technology The EU police agency Europol is developing its capabilities in"	"
								 
							      
							      
							         P8_QE(2018)002894
							      
							    
							"	"Europol"	2018-06-01	2018-04-01	2018-01-01
"Traceability of eel imports and exports in the EU"	2018-06-05	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/002784/P8_QE(2018)002784_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/002784/P8_QE(2018)002784_EN.pdf"	"Extract: (Verts/ALE) Subject: Traceability of eel imports and exports in the EU Europol has recently stated that an estimated 100 tonnes of glass eels illegally caught in the European Union are being smuggled into the Asian market, particular China, each"	"
								 
							      
							      
							         P8_QE(2018)002784
							      
							    
							"	"Europol"	2018-06-01	2018-04-01	2018-01-01
"Food safety on the European market"	2018-05-29	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/002551/P8_QE(2018)002551_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/002551/P8_QE(2018)002551_EN.pdf"	"Extract:1153009.EN PE 621.482 Question for written answer E-002551/2018 to the Commission Rule 130 Dubravka Šuica (PPE) Subject: Food safety on the European market A major investigation carried out by Europol and Interpol entitled ‘Opson VII"	"
								 
							      
							      
							         P8_QE(2018)002551
							      
							    
							"	"Europol"	2018-05-01	2018-04-01	2018-01-01
"Cryptocurrencies"	2018-05-16	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/002442/P8_QE(2018)002442_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/002442/P8_QE(2018)002442_EN.pdf"	"Extract: scourge, attacking hospitals, banks, transport systems, etc. This is a complex market that needs to be regulated. How is the Commission working with Europol and Interpol to put an end to digital ransoms and to better deal with blockchain, which makes"	"
								 
							      
							      
							         P8_QE(2018)002442
							      
							    
							"	"Europol"	2018-05-01	2018-04-01	2018-01-01
"Agreements between the EU and MENA countries on the exchange of personal data between Europol and authorities responsible for combating serious crime and terrorism"	2018-05-02	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/002135/P8_QE(2018)002135_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/002135/P8_QE(2018)002135_EN.pdf"	"Extract: Europol and authorities responsible for combating serious crime and terrorism On 20 December 2017 the Commission recommended that the Council authorise the opening of negotiations to conclude agreements between the EU and eight MENA countries allowing"	"
								 
							      
							      
							         P8_QE(2018)002135
							      
							    
							"	"Europol"	2018-05-01	2018-04-01	2018-01-01
"EU protection of critically endangered species: the European eel"	2018-05-02	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/002130/P8_QE(2018)002130_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/002130/P8_QE(2018)002130_EN.pdf"	"Extract: the European eel to third countries. However, evidence continues to show that existing trade restrictions are not being implemented by Member States, and Europol estimates that 100 tonnes of glass eels (approximately 350 million individuals) were"	"
								 
							      
							      
							         P8_QE(2018)002130
							      
							    
							"	"Europol"	2018-05-01	2018-04-01	2018-01-01
"Foreign support for the establishment of a Catalonian terrorist front"	2018-04-05	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/001406/P8_QE(2018)001406_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/001406/P8_QE(2018)001406_EN.pdf"	"Extract:. To what extent were cross-border foreign activities, in support of a Catalonian terrorist front, particularly Israeli activities, known to the European security services such as EUROPOL?"	"
								 
							      
							      
							         P8_QE(2018)001406
							      
							    
							"	"Europol"	2018-04-01	2018-04-01	2018-01-01
"Single and effective security database"	2018-04-04	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/001682/P8_QE(2018)001682_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/001682/P8_QE(2018)001682_EN.pdf"	"Extract: Regulation (EU) 2016/794 requires Member States to share data with Europol and suggests that this agency could provide a secure data exchange network (SIENA) to make it easier for Member States to share information. In the light of the above and the"	"
								 
							      
							      
							         P8_QE(2018)001682
							      
							    
							"	"Europol"	2018-04-01	2018-04-01	2018-01-01
"EU agencies cooperating with intelligence agencies"	2018-03-28	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/001597/P8_QE(2018)001597_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/001597/P8_QE(2018)001597_EN.pdf"	"Extract: (or police services with intelligence agency capabilities) have which Member States or third countries linked up with Europol, for example by means of the Europol Liaison Office in The Hague or the SIENA information system? What results can the"	"
								 
							      
							      
							         P8_QE(2018)001597
							      
							    
							"	"Europol"	2018-03-01	2018-01-01	2018-01-01
"Fingerprint identification system in EU databases"	2018-03-28	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/001595/P8_QE(2018)001595_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/001595/P8_QE(2018)001595_EN.pdf"	"Extract:-LISA). The Eurodac fingerprint database, the Visa Information System (VIS) and Europol also use an AFIS. What software and hardware, and from which manufacturers, is used for the AFIS in SIS II, in Eurodac, in the VIS and at Europol? Do the systems"	"
								 
							      
							      
							         P8_QE(2018)001595
							      
							    
							"	"Europol"	2018-03-01	2018-01-01	2018-01-01
"Crime in the EU"	2018-03-28	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/001593/P8_QE(2018)001593_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/001593/P8_QE(2018)001593_EN.pdf"	"Extract: crimes against Maltese and Slovakian journalists, will the Commission consider new measures for the surveillance and identification of criminals, in collaboration with EUROPOL and other European institutions, with a view to enhancing the safety of EU"	"
								 
							      
							      
							         P8_QE(2018)001593
							      
							    
							"	"Europol"	2018-03-01	2018-01-01	2018-01-01
"Nigerian mafia"	2018-02-14	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/000937/P8_QE(2018)000937_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/000937/P8_QE(2018)000937_EN.pdf"	"Extract: recently happened to an Italian girl, who was killed and had her organs removed, probably because of voodoo rituals. Can the Commission therefore say: 1. what measures it is taking, in cooperation with Europol, to conduct investigations into the"	"
								 
							      
							      
							         P8_QE(2018)000937
							      
							    
							"	"Europol"	2018-02-01	2018-01-01	2018-01-01
"Planned Europol agreement on the exchange of data with Egypt to combat 'migration-related challenges'"	2018-02-14	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/000918/P8_QE(2018)000918_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/000918/P8_QE(2018)000918_EN.pdf"	"Extract:1145992.EN PE 617.823 Question for written answer E-000918/2018 to the Commission Rule 130 Sabine Lösing (GUE/NGL) Subject: Planned Europol agreement on the exchange of data with Egypt to combat 'migration-related challenges' On 20"	"
								 
							      
							      
							         P8_QE(2018)000918
							      
							    
							"	"Europol"	2018-02-01	2018-01-01	2018-01-01
"Psychological support for the survivors of terror attacks in the EU"	2018-02-07	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/000783/P8_QE(2018)000783_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/000783/P8_QE(2018)000783_EN.pdf"	"Extract: attacks in the EU in recent years, in January 2016 Europol created the European Counter Terrorism Centre (ECTC), a special centre of expertise that reflects the growing need for the EU to strengthen its response to terrorism. While the ECTC’s work is"	"
								 
							      
							      
							         P8_QE(2018)000783
							      
							    
							"	"Europol"	2018-02-01	2018-01-01	2018-01-01
"The rule of law in Malta"	2018-01-31	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/000556/P8_QE(2018)000556_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/000556/P8_QE(2018)000556_EN.pdf"	"Extract:, what action will the Commission take to scrutinise the independence and effective functioning of the Maltese law enforcement authorities, especially as regards cooperation between the Europol Financial Intelligence Unit, the Maltese Financial"	"
								 
							      
							      
							         P8_QE(2018)000556
							      
							    
							"	"Europol"	2018-01-01	2018-01-01	2018-01-01
"Missing children in people trafficking"	2018-01-31	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/000537/P8_QE(2018)000537_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/000537/P8_QE(2018)000537_EN.pdf"	"Extract:1144750.EN PE 617.326 Question for written answer E-000537/2018 to the Commission Rule 130 Margot Parker (EFDD) Subject: Missing children in people trafficking A 2015 Europol report estimated that 10 000 child migrants had gone missing"	"
								 
							      
							      
							         P8_QE(2018)000537
							      
							    
							"	"Europol"	2018-01-01	2018-01-01	2018-01-01
"EU law and cryptocurrencies"	2018-01-10	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/000121/P8_QE(2018)000121_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/000121/P8_QE(2018)000121_EN.pdf"	"Extract:1143194.EN PE 616.404 Question for written answer E-000121/2018 to the Commission Rule 130 Siôn Simon (S&D) Subject: EU law and cryptocurrencies The Executive Director of Europol, Robert Wainwright, recently stated that 2018 would see a"	"
								 
							      
							      
							         P8_QE(2018)000121
							      
							    
							"	"Europol"	2018-01-01	2018-01-01	2018-01-01
"Communication by police and secret services with online service providers concerning removal of Internet content"	2018-01-08	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/000025/P8_QE(2018)000025_EN.docx"	"http://www.europarl.europa.eu/RegData/questions/ecrites/2018/000025/P8_QE(2018)000025_EN.pdf"	"Extract:/Google’s Trusted Flagger programme, or by directly contacting the service provider concerned. Europol uses the Check the Web platform to store content the EU IRU has referred to the individual online service providers concerned. What organisational and"	"
								 
							      
							      
							         P8_QE(2018)000025
							      
							    
							"	"Europol"	2018-01-01	2018-01-01	2018-01-01
